experiment,window,country,MAPE (%),MAE,RMSE,R2
window_lengths,5,Argentina,8.439104749532317,100945.45,113975.57644016875,-0.20443673350294134
window_lengths,5,Bolivia (Plurinational State of),12.263888388956708,77024.1145,92860.15262691742,-0.7718723135950079
window_lengths,5,Brazil,12.281803671758471,1305033.2,1399743.4552322794,-6.714508915049436
window_lengths,5,Chile,12.843905227602297,15908.746249999997,17042.26982948906,0.6869662754254282
window_lengths,5,Colombia,10.26487938936809,302840.15,344424.70130615996,-2.3033174680728448
window_lengths,5,Ecuador,10.26862757193783,102290.0,139479.35449886034,0.17507700282648153
window_lengths,5,Guyana,7.202736676971232,69374.275,76575.76642351311,-0.04486001138478568
window_lengths,5,Paraguay,16.41196262393795,183618.025,205784.28817366165,-3.9060663073852826
window_lengths,5,Peru,1.3340794608550512,44717.337999999894,62807.635117992504,0.7030578847596651
window_lengths,5,Suriname,19.880269567465056,40173.264,52762.207391593234,-1.2524706447729947
window_lengths,5,Uruguay,4.9944097350056476,61786.625,76608.57907842714,0.11628531028225253
window_lengths,5,Venezuela (Bolivarian Republic of),17.492650901021847,121001.65149999999,125216.59388272764,-1.3904498975759183
window_lengths,10,Argentina,8.942685155893567,109623.35,113659.19189021846,-0.19775922790441447
window_lengths,10,Bolivia (Plurinational State of),10.844296946569045,69446.23325,89675.45391993174,-0.6524213711316444
window_lengths,10,Brazil,4.289062129913462,461812.4,482416.00159281614,0.08366388446300743
window_lengths,10,Chile,12.262070367824766,14090.122812499996,17523.053904918517,0.6690549816327859
window_lengths,10,Colombia,7.446181032900786,222384.35,273086.01613683463,-1.0766373303892545
window_lengths,10,Ecuador,7.5414230711834,76778.925,100309.60981629265,0.5733432355450846
window_lengths,10,Guyana,4.741300994981095,45609.0875,50071.214993192756,0.5532632674121006
window_lengths,10,Paraguay,26.998342297121113,291203.025,295471.60163554107,-9.114408278821449
window_lengths,10,Peru,2.446654360979348,84103.61199999992,92666.07095564906,0.35361925043666087
window_lengths,10,Suriname,10.791688993022849,21721.857750000003,29273.9195969966,0.3066141450880626
window_lengths,10,Uruguay,8.873780259736966,110221.525,131348.9503642516,-1.597828476024457
window_lengths,10,Venezuela (Bolivarian Republic of),19.188457643958255,134091.43600000002,145883.28600412767,-2.244643212806837
window_lengths,15,Argentina,4.699222603654623,57836.6,60676.04790777206,0.6586538814978908
window_lengths,15,Bolivia (Plurinational State of),23.774859681010614,146346.38325,162185.17868943507,-4.4050032957936205
window_lengths,15,Brazil,3.040290688765151,320451.0,384654.65616602125,0.41742293684301235
window_lengths,15,Chile,4.273161549388385,4913.749062500004,6212.296172447163,0.9584050545096408
window_lengths,15,Colombia,6.643205829949358,199519.3,254445.10590695197,-0.8028099105582034
window_lengths,15,Ecuador,9.986554260453143,96446.85,144309.94678321728,0.11694839049109018
window_lengths,15,Guyana,3.851700793563966,38323.825,39999.36624001842,0.7149102360013773
window_lengths,15,Paraguay,18.223250296398902,200055.7625,209904.54714783642,-4.104493807982762
window_lengths,15,Peru,2.8306554102182786,97920.76199999992,116226.30370176917,-0.01684736577151491
window_lengths,15,Suriname,3.8788364713537264,9109.160999999998,9912.84145477902,0.9204922347520723
window_lengths,15,Uruguay,1.535050035575521,20341.55,22736.969871362588,0.9221564860277561
window_lengths,15,Venezuela (Bolivarian Republic of),9.353309926212898,60343.30149999999,63356.70272982625,0.3880146753380821
sa_no_climate,,Argentina,3.5780029720796818,48408.916666666664,59140.677741544074,0.7765012438079288
sa_no_climate,,Bolivia (Plurinational State of),24.89959929033044,158024.02416666667,167344.78118862238,-6.521562174482914
sa_no_climate,,Brazil,9.523388390729522,1006785.0,1156419.52330761,-3.131439936454978
